"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 1 1 47.229600000 0.192300000 18.194400000 0.330000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 0 2 47.285600000 0.192100000 68.770700000 1.230000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 3 47.316700000 0.192000000 552.863700000 9.910000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 2 0 47.670700000 0.190600000 4.565400000 0.080000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 4 47.842500000 0.190000000 29.682500000 0.530000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 1 -2 48.079400000 0.189100000 3.767000000 0.070000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 2 -1 48.125600000 0.188900000 4.296900000 0.080000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 0 5 48.850800000 0.186300000 1.447100000 0.030000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 2 1 49.149800000 0.185200000 9.763300000 0.170000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 2 -3 49.262100000 0.184800000 3.574500000 0.060000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 1 5 50.281500000 0.181300000 0.133200000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 -4 50.452800000 0.180700000 1017.112400000 18.230000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 2 -2 50.475100000 0.180700000 3.671300000 0.070000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 -5 50.627400000 0.180200000 1.781000000 0.030000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 1 2 50.778300000 0.179700000 29.635200000 0.530000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 2 3 51.261500000 0.178100000 0.346200000 0.010000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 2 4 52.096300000 0.175400000 946.151200000 16.960000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 1 -3 52.116900000 0.175400000 37.538400000 0.670000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 5 52.265800000 0.174900000 1.063100000 0.020000000 1.000000000 1.000000000 0.000000000
